Original Elements; Created Elements; Percentage difference;
50;50;0;
78;78;0;
77;77;0;
100;100;0;
31;31;0;
78;78;0;
212;212;0;
125;125;0;
98;98;0;
44;44;0;
111;111;0;
41;41;0;
30;30;0;
80;80;0;
330;330;0;
30;30;0;
37;37;0;
73;73;0;
913;913;0;
12;12;0;
145;145;0;
77;77;0;
27;27;0;
38;38;0;
111;111;0;
40;40;0;
63;63;0;
40;40;0;
25;25;0;
63;63;0;
123;123;0;
20;20;0;
83;83;0;
61;61;0;
47;47;0;
66;66;0;
58;58;0;
576;576;0;
79;79;0;
94;94;0;
63;63;0;
101;101;0;
40;40;0;
55;55;0;
25;25;0;
61;61;0;
127;127;0;
48;48;0;
67;67;0;
53;53;0;
287;287;0;
45;45;0;
78;78;0;
45;45;0;
93;93;0;
49;49;0;
166;166;0;
21;21;0;
46;46;0;
27;27;0;
23;23;0;
12;12;0;
138;138;0;
37;37;0;
312;312;0;
16;16;0;
55;55;0;
24;24;0;
69;69;0;
31;31;0;
115;115;0;
110;110;0;
48;48;0;
40;40;0;
103;103;0;
74;74;0;
124;124;0;
47;47;0;
52;52;0;
56;56;0;
18;18;0;
52;52;0;
93;93;0;
249;249;0;
41;41;0;
88;88;0;
334;334;0;
130;130;0;
69;69;0;
155;155;0;
26;26;0;
72;72;0;
8285;8285;0;
29;29;0;
63;63;0;
75;75;0;
57;57;0;
34;34;0;
111;111;0;
523;523;0;
40;40;0;
157;157;0;
51;51;0;
71;71;0;
37;37;0;
102;102;0;
29;29;0;
144;144;0;
54;54;0;
112;112;0;
51;51;0;
24;24;0;
77;77;0;
77;77;0;
114;114;0;
66;66;0;
68;68;0;
87;87;0;
79;79;0;
20;20;0;
29;29;0;
34;34;0;
48;48;0;
23;23;0;
49;49;0;
125;125;0;
172;172;0;
171;171;0;
97;97;0;
128;128;0;
61;61;0;
141;141;0;
21;21;0;
44;44;0;
73;73;0;
215;215;0;
54;54;0;
130;130;0;
135;135;0;
64;64;0;
279;279;0;
274;274;0;
60;60;0;
66;66;0;
69;69;0;
87;87;0;
62;62;0;
202;202;0;
83;83;0;
35;35;0;
23;23;0;
27;27;0;
75;75;0;
127;127;0;
95;95;0;
80;80;0;
61;61;0;
65;65;0;
14;14;0;
172;172;0;
81;81;0;
104;104;0;
103;103;0;
210;210;0;
58;58;0;
34;34;0;
27;27;0;
55;55;0;
